trade_no,direction,entry_time,exit_time,entry_price,exit_price,notional,pnl,fees,funding,liquidated,liq_price_est,liq_loss,net_trade,balance_before,balance_after,exit_reason,stop_streak
45,long,2021-01-26 10:00:00+00:00,2021-01-26 10:45:00+00:00,0.02938601246008218,0.029414360558923484,201.572184432024,0.19445265721910152,0.201572184432024,0.0,False,0.026667806307524577,0.0,-0.007119527212922472,1007.8609221601199,1007.853802632907,long_exit_LH,0
46,short,2021-01-26 20:15:00+00:00,2021-01-26 22:15:00+00:00,0.029327803844283473,0.029182306492249982,201.5707605265814,1.0000070942820016,0.2015707605265814,0.0,False,0.03204062569987969,0.0,0.7984363337554202,1007.853802632907,1008.6522389666624,short_exit_LB,0
47,long,2021-01-26 22:15:00+00:00,2021-01-27 00:00:00+00:00,0.029182310956239032,0.028918626964944967,201.7304477933325,-1.8227853756836376,0.20173044779333252,-0.020173044779333252,False,0.02648294719278692,0.0,-2.0446888682563036,1008.6522389666624,1006.607550098406,long_exit_LH,0
48,short,2021-01-27 05:00:00+00:00,2021-01-27 06:30:00+00:00,0.028693939552701525,0.02876913669186758,201.32151001968123,-0.5275957864992866,0.20132151001968124,0.0,False,0.03134812896132642,0.0,-0.7289172965189679,1006.607550098406,1005.8786328018871,short_exit_LB,0
49,short,2021-01-27 11:15:00+00:00,2021-01-27 15:00:00+00:00,0.028660279669788364,0.028186180396728794,201.1757265603774,3.327855374002011,0.2011757265603774,0.0,False,0.03131135553924379,0.0,3.126679647441634,1005.8786328018871,1009.0053124493287,short_exit_LB,0
50,short,2021-01-27 16:15:00+00:00,2021-01-27 19:00:00+00:00,0.028513429248602857,0.028383251543455692,201.80106248986576,0.9213202306235257,0.20180106248986576,0.0,False,0.03115092145409862,0.0,0.71951916813366,1009.0053124493287,1009.7248316174623,short_exit_LB,0
51,long,2021-01-27 19:00:00+00:00,2021-01-27 21:15:00+00:00,0.028383259238868516,0.02845838195920815,201.94496632349245,0.5344930651354227,0.20194496632349246,0.0,False,0.025757807759273176,0.0,0.33254809881193026,1009.7248316174623,1010.0573797162742,long_exit_LH,0
52,long,2021-01-28 00:30:00+00:00,2021-01-28 04:15:00+00:00,0.028165992024118635,0.028751666126868917,202.01147594325482,4.200558241194352,0.20201147594325483,0.0,False,0.02556063776188766,0.0,3.998546765251097,1010.0573797162742,1014.0559264815254,long_exit_LH,0
53,long,2021-01-28 04:45:00+00:00,2021-01-28 06:30:00+00:00,0.028785830685076685,0.02891762132750257,202.81118529630507,0.928533787812917,0.20281118529630507,0.0,False,0.02612314134670709,0.0,0.7257226025166119,1014.0559264815254,1014.781649084042,long_exit_LH,0
54,short,2021-01-28 10:15:00+00:00,2021-01-28 12:00:00+00:00,0.02873569751322551,0.029487756533717838,202.9563298168084,-5.31169074752741,0.2029563298168084,0.0,False,0.03139374953319887,0.0,-5.514647077344218,1014.781649084042,1009.2670020066978,STOP_LOSS,1
55,long,2021-01-28 12:00:00+00:00,2021-01-28 16:15:00+00:00,0.029477431794683116,0.029424987906341835,201.85340040133954,-0.3591214209463556,0.20185340040133953,-0.020185340040133955,False,0.026750769353674927,0.0,-0.581160161387829,1009.2670020066978,1008.6858418453099,long_exit_LH,0
56,long,2021-01-28 18:45:00+00:00,2021-01-28 22:45:00+00:00,0.029791220150236317,0.029783458939437946,201.73716836906198,-0.052556581492221706,0.20173716836906197,0.0,False,0.027035532286339457,0.0,-0.25429374986128367,1008.6858418453099,1008.4315480954486,long_exit_LH,0
57,long,2021-01-29 07:45:00+00:00,2021-01-29 09:45:00+00:00,0.030217294894505035,0.030455354939233455,201.68630961908974,1.5889394486387913,0.20168630961908973,-0.020168630961908976,False,0.027422195116763318,0.0,1.3670845080577927,1008.4315480954486,1009.7986326035065,long_exit_LH,0
58,short,2021-01-29 09:45:00+00:00,2021-01-29 10:30:00+00:00,0.03045534272423458,0.030587468529075772,201.95972652070128,-0.8761711090783901,0.2019597265207013,0.0,False,0.03327246192622628,0.0,-1.0781308355990915,1009.7986326035065,1008.7205017679074,short_exit_LB,0
59,long,2021-01-29 10:30:00+00:00,2021-01-29 14:00:00+00:00,0.030587459930170174,0.03729519,201.7441003535815,44.241822349481886,0.2017441003535815,0.0,False,0.02775811988662943,0.0,44.04007824912831,1008.7205017679074,1052.7605800170356,long_exit_LH,0
60,long,2021-01-29 17:00:00+00:00,2021-01-29 17:15:00+00:00,0.03652743,0.033673419,210.55211600340712,-16.45114521188595,0.21055211600340712,0.0,False,0.033148642725,0.0,-16.661697327889357,1052.7605800170356,1036.0988826891462,STOP_LOSS,1
61,short,2021-01-29 17:15:00+00:00,2021-01-29 17:30:00+00:00,0.03368534,0.03491042262842105,207.21977653782926,-7.536256083559965,0.20721977653782928,0.0,False,0.036801233950000005,0.0,-7.743475860097794,1036.0988826891462,1028.3554068290484,STOP_LOSS,2
62,short,2021-01-29 20:45:00+00:00,2021-01-29 22:15:00+00:00,0.033258256573041066,0.033769789828585056,205.6710813658097,-3.1633527629823552,0.2056710813658097,0.0,False,0.03633464530604737,0.0,-3.369023844348165,1028.3554068290484,1024.9863829847002,short_exit_LB,0
63,long,2021-01-29 22:15:00+00:00,2021-01-29 22:45:00+00:00,0.03376974152293638,0.0328535635,204.99727659694003,-5.561606074253288,0.20499727659694003,0.0,False,0.030646040432064765,0.0,-5.766603350850228,1024.9863829847002,1019.21977963385,long_exit_LH,0
64,short,2021-01-29 22:45:00+00:00,2021-01-29 23:45:00+00:00,0.0328535635,0.03384427797086764,203.84395592676998,-6.147009195381697,0.20384395592677,0.0,False,0.03589251812375,0.0,-6.350853151308467,1019.21977963385,1012.8689264825415,STOP_LOSS,1
